,0
0,1
1,1
2,0
3,2
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,2
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,2
37,0
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,2
49,1
50,1
51,0
52,0
53,1
54,1
55,1
56,1
57,1
58,1
59,2
60,1
61,0
62,2
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,2
77,2
78,2
79,0
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,2
90,2
91,2
92,2
93,1
94,2
95,1
96,1
97,2
98,0
99,1
100,1
101,0
102,2
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,2
112,2
113,1
114,1
115,2
116,1
117,1
118,2
119,2
120,2
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,2
132,2
133,2
134,2
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,2
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,2
151,2
152,1
153,1
154,1
155,1
156,1
157,2
158,2
159,1
160,2
161,2
162,2
163,1
164,1
165,1
166,2
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,0
179,1
180,1
181,1
182,1
183,2
184,2
185,1
186,2
187,1
188,1
189,2
190,2
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,2
200,2
201,2
202,2
203,2
204,2
205,1
206,2
207,1
208,0
209,1
210,1
211,1
212,1
213,1
214,2
215,2
216,1
217,1
218,2
219,1
220,1
221,0
222,1
223,1
224,1
225,1
226,0
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,0
237,1
238,1
239,1
240,2
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,2
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,2
263,2
264,1
265,1
266,1
267,1
268,1
269,1
270,2
271,1
272,1
273,0
274,0
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,0
286,1
287,2
288,2
289,1
290,2
291,2
292,2
293,2
294,2
295,1
296,0
297,2
298,2
299,2
300,2
301,2
302,1
303,1
304,0
305,2
306,2
307,0
308,1
309,1
310,1
311,0
312,2
313,0
314,2
315,2
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,2
325,2
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,2
337,0
338,1
339,1
340,1
341,2
342,0
343,1
344,2
345,1
346,1
347,2
348,1
349,1
350,1
351,1
352,2
353,1
354,2
355,0
356,1
357,1
358,2
359,2
360,1
361,1
362,1
363,2
364,1
365,1
366,1
367,2
368,1
369,1
370,2
371,1
372,1
373,1
374,1
375,1
376,1
377,0
378,2
379,2
380,1
381,1
382,1
383,1
384,0
385,1
386,1
387,1
388,2
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,2
397,0
398,2
399,2
400,1
401,2
402,1
403,2
404,1
405,0
406,2
407,1
408,1
409,1
410,2
411,1
412,2
413,2
414,1
415,1
416,1
417,1
418,1
419,2
420,1
421,1
422,0
423,0
424,1
425,0
426,1
427,2
428,2
429,2
430,1
431,2
432,1
433,1
434,2
435,1
436,1
437,1
438,2
439,0
440,1
441,2
442,1
443,1
444,2
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,2
456,1
457,2
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,2
467,1
468,2
469,1
470,1
471,1
472,1
473,2
474,1
475,2
476,1
477,1
478,1
479,1
480,2
481,1
482,1
483,2
484,1
485,1
486,1
487,1
488,1
489,2
490,1
491,0
492,1
493,2
494,1
495,1
496,2
497,1
498,2
499,2
500,2
501,0
502,1
503,0
504,1
505,2
506,1
507,1
508,0
509,1
510,1
511,0
512,1
513,2
514,1
515,1
516,1
517,1
518,1
519,1
520,2
521,1
522,1
523,2
524,2
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,2
536,1
537,1
538,1
539,1
540,2
541,2
542,1
543,2
544,1
545,1
546,2
547,2
548,2
549,1
550,1
551,1
552,2
553,2
554,1
555,0
556,1
557,1
558,2
559,1
560,1
561,1
562,1
563,1
564,2
565,0
566,1
567,1
568,1
569,1
570,1
571,1
572,2
573,1
574,1
575,1
576,0
577,1
578,1
579,1
580,1
581,2
582,1
583,1
584,1
585,1
586,1
587,1
588,2
589,1
590,1
591,1
592,1
593,1
594,1
595,2
596,1
597,2
598,1
599,2
600,2
601,2
602,2
603,2
604,2
605,1
606,2
607,1
608,1
609,2
610,0
611,2
612,2
613,2
614,2
615,2
616,0
617,1
618,0
619,0
620,2
621,1
622,2
623,1
624,1
625,1
626,1
627,1
628,1
629,2
630,2
631,2
632,2
633,2
634,1
635,2
636,2
637,2
638,2
639,2
640,1
641,1
642,1
643,1
644,2
645,1
646,2
647,1
648,1
649,0
650,1
651,2
652,1
653,2
654,1
655,1
656,0
657,1
658,1
659,1
660,2
661,2
662,0
663,2
664,2
665,2
666,2
667,1
668,1
669,2
670,1
671,1
672,1
673,2
674,2
675,1
676,1
677,1
678,0
679,1
680,1
681,1
682,1
683,1
684,0
685,1
686,2
687,0
688,2
689,2
690,1
691,1
692,1
693,1
694,1
695,1
696,0
697,1
698,2
699,1
700,2
701,2
702,1
703,2
704,1
705,2
706,2
707,1
708,1
709,1
710,2
711,2
712,2
713,2
714,2
715,2
716,1
717,0
718,0
719,1
720,1
721,1
722,2
723,2
724,2
725,2
726,1
727,2
728,1
729,2
730,0
731,2
732,2
733,0
734,1
735,1
736,1
737,2
738,1
739,2
740,1
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,0
749,1
750,1
751,1
752,2
753,1
754,1
755,2
756,1
757,2
758,1
759,2
760,1
761,1
762,1
763,1
764,0
765,1
766,1
767,2
768,1
769,1
770,2
771,1
772,1
773,1
774,1
775,2
776,1
777,2
778,2
779,2
780,1
781,2
782,2
783,2
784,0
785,0
786,2
787,1
788,1
789,2
790,2
791,2
792,1
793,1
794,2
795,0
796,2
797,0
798,2
799,1
800,1
801,2
802,0
803,1
804,2
805,2
806,0
807,2
808,1
809,1
810,2
811,2
812,2
